Vehicle_ID,Lane_No,First_Frame,Last_Frame,First_Time_s,Last_Time_s,Vehicle_Type
563,1,5847,5847,194.9,194.9,car
564,1,5856,5856,195.2,195.2,car
565,3,5862,5862,195.4,195.4,bus
554,1,5791,5871,193.03,195.7,car
566,3,5878,5878,195.93,195.93,car
567,3,5884,5884,196.13,196.13,car
568,1,5893,5893,196.43,196.43,car
569,2,5897,5897,196.57,196.57,car
570,2,5909,5909,196.97,196.97,car
571,1,5921,5921,197.37,197.37,car
572,2,5921,5921,197.37,197.37,car
573,2,5921,5921,197.37,197.37,car
574,3,5928,5928,197.6,197.6,car
575,1,5934,5934,197.8,197.8,car
560,1,5829,5937,194.3,197.9,car
576,2,5940,5940,198.0,198.0,car
577,1,5942,5942,198.07,198.07,bus
578,1,5955,5955,198.5,198.5,car
579,1,5972,5972,199.07,199.07,car
573,1,5921,6005,197.37,200.17,car
580,2,6013,6013,200.43,200.43,car
581,1,6022,6022,200.73,200.73,car
582,1,6036,6036,201.2,201.2,car
583,2,6038,6038,201.27,201.27,car
576,1,5940,6049,198.0,201.63,car
584,1,6052,6052,201.73,201.73,car
585,1,6055,6055,201.83,201.83,car
586,1,6084,6084,202.8,202.8,car
587,2,6098,6098,203.27,203.27,car
588,1,6102,6102,203.4,203.4,car
589,1,6121,6121,204.03,204.03,car
590,1,6132,6132,204.4,204.4,car
591,1,6139,6139,204.63,204.63,truck
580,1,6013,6145,200.43,204.83,car
591,2,6139,6146,204.63,204.87,truck
592,2,6151,6151,205.03,205.03,car
593,1,6179,6179,205.97,205.97,car
594,1,6182,6182,206.07,206.07,car
595,2,6183,6183,206.1,206.1,car
596,2,6186,6186,206.2,206.2,car
597,1,6195,6195,206.5,206.5,car
598,1,6216,6216,207.2,207.2,car
599,2,6219,6219,207.3,207.3,bus
583,1,6038,6227,201.27,207.57,car
600,1,6227,6227,207.57,207.57,car
601,2,6240,6240,208.0,208.0,car
602,1,6246,6246,208.2,208.2,car
603,1,6251,6251,208.37,208.37,car
604,2,6255,6255,208.5,208.5,car
605,1,6266,6266,208.87,208.87,car
606,1,6274,6274,209.13,209.13,bus
599,1,6219,6275,207.3,209.17,bus
607,1,6286,6286,209.53,209.53,car
608,2,6290,6290,209.67,209.67,car
609,2,6290,6290,209.67,209.67,car
610,2,6291,6291,209.7,209.7,car
611,1,6307,6307,210.23,210.23,bus
612,2,6308,6308,210.27,210.27,car
613,3,6311,6311,210.37,210.37,car
